번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수,Unnamed: 47
753,산후조리업,01_01_04_P,5530000,PHMB120105530021042100002,2010-06-24,,1,영업/정상,13,영업중,,2024-06-10,2024-06-27,,031-273-6644,,,경기도 화성시 반월동 882번지 반달마을두산위브,"경기도 화성시 영통로50번길 49, 반달마을두산위브 상가동 2층 (반월동)",18379,(주)마벨르산후조리원 화성동탄점,2024-06-26 10:06:20,U,2024-06-28 02:40:00,,205814.650421131,414780.524746766,18,19,298.59,50.56,16.15,32.2,17.05,14.58,67.97,15.97,4.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
754,산후조리업,01_01_04_P,5530000,PHMB120125530021042100001,2012-01-05,,1,영업/정상,13,영업중,,,,,03180037575,,445-320,경기도 화성시 능동 1114번지 4호,"경기도 화성시 동탄지성로 139, 2,5층 (능동)",18431,미즈파크산후조리원,2022-09-07 13:50:59,U,2022-09-09 02:40:00,,205268.482402706,411938.740244478,17,20,243.41,37.0,11.5,0.0,17.01,0.0,0.0,11.0,5.0,6.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,
755,산후조리업,01_01_04_P,5530000,PHMB120125530021042100002,2012-02-09,,1,영업/정상,13,영업중,,2018-02-26,2018-03-11,,03180598866,,445-926,경기도 화성시 향남읍 행정리 486번지 3호,경기도 화성시 향남읍 행정중앙2로 69-17,445-926,해피본 산후조리원,2018-03-09 13:12:43,I,2020-08-05 00:23:26,,193075.067354189,403168.769200931,15,15,17.15,44.0,12.71,64.55,7.02,1.71,2.88,11.21,2.0,1.0,0.0,0.0,0.0,1.0,9.0,7.0,2.0,
756,산후조리업,01_01_04_P,5530000,PHMB120095530021042100001,2009-02-11,,1,영업/정상,13,영업중,,,,,031-278-7373,,,,경기도 화성시 봉담읍 삼천병마로 1344,18303,gm산후조리원,2016-10-10 17:58:36,I,2020-08-05 00:23:26,,195801.707996728,413613.282814662,10,10,171.68,32.02,17.66,43.68,13.2,,3.92,,2.0,5.0,1.0,3.0,1.0,1.0,4.0,4.0,,
757,산후조리업,01_01_04_P,5530000,PHMB120085530021042100001,2008-11-24,,1,영업/정상,13,영업중,,2024-01-02,2024-01-31,,031-8003-5445,,,,"경기도 화성시 동탄지성로 126, 정일프라자 4,5층 (반송동)",18434,센트럴산후조리원,2024-02-02 14:28:32,U,2024-02-04 02:40:00,,205416.501107917,411942.980332719,23,23,494.0,54.4,16.8,15.0,11.0,48.0,30.0,0.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,
758,산후조리업,01_01_04_P,5530000,PHMB120185530021042100001,2018-10-11,,1,영업/정상,13,영업중,,,,,031-372-6762,,,경기도 화성시 오산동 967번지 150호,"경기도 화성시 동탄대로 537, 3층 338~342호 (오산동)",18478,위대한탄생 산후조리원,2024-03-22 13:43:24,U,2024-03-24 02:40:00,,208572.167711216,411122.578198514,18,18,14.17,33.7,10.8,0.0,5.45,0.0,2.48,8.9,5.0,8.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,
759,산후조리업,01_01_04_P,5530000,PHMB120195530021042100001,2019-04-29,,1,영업/정상,13,영업중,,,,,031-8077-2292,,,,"경기도 화성시 동탄신리천로 254, 5층 (오산동)",18486,(주)노블아이 산후조리원,2020-07-23 10:09:45,I,2020-08-05 00:23:26,,209351.835621185,409140.911178234,19,19,506.0,53.0,11.0,88.0,8.0,26.6,55.7,27.0,3.0,10.0,,,2.0,2.0,5.0,5.0,,
760,산후조리업,01_01_04_P,3900000,PHMB120183900028042100001,2018-08-27,,1,영업/정상,13,영업중,,,,,02-2616-2686,,,경기도 광명시 광명동 158번지 776호,경기도 광명시 광명로 878 (광명동),14267,GM제일산후조리원,2022-10-18 16:05:46,U,2022-10-20 02:40:00,,186989.432988729,441695.860820773,20,20,330.15,43.2,6.7,15.0,20.0,37.5,41.25,8.0,3.0,9.0,0.0,2.0,1.0,0.0,5.0,4.0,1.0,
761,산후조리업,01_01_04_P,3550000,PHMB120063550020042100003,2006-12-20,,1,영업/정상,13,영업중,,2023-10-07,2023-10-31,,032-552-9696,,407-060,인천광역시 계양구 작전동 901번지 1호 3층,"인천광역시 계양구 장제로 718 (작전동,3층)",,한림산후조리원,2023-11-02 16:38:12,U,2023-11-04 02:40:00,,176445.615200023,447763.871895495,17,14,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,1.0,1.0,7.0,3.0,0.0,
762,산후조리업,01_01_04_P,4390000,PHMB120204390029042100002,2020-07-20,,1,영업/정상,13,영업중,,,,,043-855-8886,,,충청북도 충주시 호암동 1205,"충청북도 충주시 사천개1길 2, 청보테라스타워 7,8층 (호암동)",27480,모스트 산후조리원,2022-09-20 13:46:40,U,2022-09-22 02:40:00,,283261.557548389,384207.735791475,27,27,988.0,146.0,30.0,36.0,18.0,82.0,82.0,33.0,2.0,11.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,
763,산후조리업,01_01_04_P,3720000,PHMB120213720017042100001,2021-07-26,,1,영업/정상,13,영업중,,,,,052-294-9123,,,,"울산광역시 북구 호계매곡5로 60, 울산북구공공산후조리원 (호계동)",44225,울산 북구 공공산후조리원,2021-07-26 18:12:04,I,2021-07-28 00:22:52,,414167.140439711,239444.591238241,28,28,502.92,113.8,19.64,135.28,38.5,0.0,54.38,58.52,5.0,12.0,0.0,3.0,1.0,4.0,3.0,2.0,1.0,
764,산후조리업,01_01_04_P,5670000,PHMB120215670554042100003,2021-09-16,,1,영업/정상,13,영업중,,,,,055-276-9242,,,경상남도 창원시 의창구 중동 776-3,"경상남도 창원시 의창구 중동중앙로 83, 더세븐파크 7층 701호 (중동)",51380,라움산후조리원,2023-09-01 10:56:57,U,2023-09-03 02:40:00,,348056.845213402,196771.581140247,18,18,344.77,59.9,11.08,0.0,0.0,0.0,0.0,6.1,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
765,산후조리업,01_01_04_P,5100000,PHMB120215100028042100001,2021-04-19,,1,영업/정상,13,영업중,,,,,054-331-9966,,,경상북도 영천시 망정동 233-5 영천제이병원,"경상북도 영천시 호국로 145, 영천제이병원 (망정동)",38831,자혜의료재단 산후조리원,2024-06-20 10:53:04,U,2024-06-22 02:40:00,,376087.449572821,276948.110118173,5,6,72.6,27.41,17.1,83.7,0.0,0.0,18.59,12.6,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,
766,산후조리업,01_01_04_P,5670000,PHMB120215670554042100002,2021-08-31,,1,영업/정상,13,영업중,,,,,274-3575,,,경상남도 창원시 의창구 사림동 166-11 화사랑메디컬,"경상남도 창원시 의창구 용동로83번안길 3, 화사랑메디컬 2층 (사림동)",51139,맘스힐산후조리원,2021-09-02 10:49:32,I,2021-09-04 00:22:49,,354732.801603044,194618.032403253,17,17,429.73,33.45,15.76,23.95,10.88,6.14,10.88,8.38,3.0,6.0,0.0,1.0,1.0,0.0,7.0,5.0,2.0,
767,산후조리업,01_01_04_P,4040000,PHMB120214040023042100001,2021-09-06,,1,영업/정상,13,영업중,,,,,,,,경기도 하남시 풍산동 514-2 풍산동 514-2업무의료근생시설 6~7층,"경기도 하남시 미사강변대로 60, 풍산동 514-2업무의료근생시설 6~7층 (풍산동)",12919,트리시아산후조리원,2021-09-06 09:08:05,I,2021-09-08 00:22:50,,216442.991960826,450329.044324851,19,19,543.0,66.2,0.0,18.0,0.0,3.0,49.2,12.0,3.0,2.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0,
768,산후조리업,01_01_04_P,4040000,PHMB120214040023042100002,2021-09-06,,1,영업/정상,13,영업중,,,,,,,,경기도 하남시 풍산동 514-2 풍산동 514-2업무의료근생시설,"경기도 하남시 미사강변대로 60, 풍산동 514-2업무의료근생시설 (풍산동)",12919,트리시아 산후조리원,2021-09-06 16:27:50,I,2021-09-08 00:22:50,,216442.991960826,450329.044324851,19,19,543.0,66.2,0.0,18.0,0.0,3.0,49.2,12.0,3.0,2.0,0.0,1.0,1.0,0.0,67.0,67.0,0.0,
769,산후조리업,01_01_04_P,3740000,PHMB120223740032042100001,2022-12-02,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 권선구 호매실동 1399 4-6층,"경기도 수원시 권선구 호매실로104번길 24-76, 4-6층 (호매실동)",16630,(주)더케어 산후조리원,2024-12-23 13:05:53,U,2024-12-25 02:40:00,,196663.124432929,417515.388554474,15,18,950.4,103.9,0.0,46.0,48.5,120.0,37.9,22.0,3.0,10.0,1.0,0.0,1.0,0.0,8.0,6.0,2.0,
770,산후조리업,01_01_04_P,4691000,PHMB120074690107042100002,2007-07-02,,1,영업/정상,13,영업중,,,,,063-532-9600,,580-800,전북특별자치도 정읍시 상동 146번지 20호,전북특별자치도 정읍시 상동중앙로 55-1 (상동),,서울산후조리원,2018-10-24 13:37:30,I,2024-01-19 01:16:45,,188007.118790516,229121.758138232,7,7,142.21,22.54,0.0,0.0,0.0,0.0,26.69,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,
771,산후조리업,01_01_04_P,4671000,PHMB120074670076042100001,2007-02-20,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 군산시 수송동 7-113 미래와여성 산부인과,"전북특별자치도 군산시 문화로 164, 미래와여성 산부인과 (수송동)",54087,미래와여성 산후조리원,2023-01-07 10:36:24,I,2024-01-19 01:16:45,,175002.559725517,274399.711120307,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
772,산후조리업,01_01_04_P,4671000,PHMB120084670076042100001,2008-07-03,,1,영업/정상,13,영업중,,2017-03-21,2017-03-26,,471-2955,,573-370,전북특별자치도 군산시 수송동 52번지 6호,전북특별자치도 군산시 월명로 144 (수송동),54098,은혜 산후조리원,2024-07-31 13:04:54,U,2024-08-02 02:40:00,,174354.12511768,272973.566367541,16,16,464.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
773,산후조리업,01_01_04_P,3140000,PHMB120213140033042100001,2021-06-29,,1,영업/정상,13,영업중,,,,,02)2698-3588,,,,"서울특별시 양천구 화곡로 64, 동화빌딩 2층 (신월동)",07904,보네르아샤 산후조리원,2021-07-01 15:37:40,I,2021-07-03 00:22:53,,184806.911534822,448551.489178583,17,17,377.63,45.9,,28.41,23.85,,43.52,12.7,,,,,,,0.0,,,
774,산후조리업,01_01_04_P,3630000,PHMB120103630020042100001,2010-06-03,,1,영업/정상,13,영업중,,,,,062-616-9100,,506-304,"광주광역시 광산구 수완동 1415번지 2층,3층","광주광역시 광산구 임방울대로 331, 2-3층 (수완동)",62306,(주)더블유산후조리원,2024-07-16 17:08:38,U,2024-07-18 02:40:00,,183813.091096381,187849.980512539,20,20,18.6,54.3,24.0,96.0,0.0,9.4,3.44,0.0,3.0,8.0,0.0,2.0,2.0,0.0,9.0,2.0,0.0,
775,산후조리업,01_01_04_P,3630000,PHMB120103630020042100002,2010-05-28,,1,영업/정상,13,영업중,,,,,062-616-9100,,506-304,"광주광역시 광산구 수완동 1415번지 2층,3층",,,주식회사 더블유산후조리원,2010-06-01 08:49:09,I,2018-08-31 23:59:59,,,,20,20,18.6,54.3,24.0,96.0,,9.4,3.44,,3.0,8.0,,2.0,2.0,,2.0,2.0,,
776,산후조리업,01_01_04_P,3670000,PHMB120173670022042100001,2017-10-10,,1,영업/정상,13,영업중,,,,,042-821-0001,,,대전광역시 유성구 봉명동 1016번지 6호,"대전광역시 유성구 계룡로 126, 7,8,9층 (봉명동)",34188,미즈제일산후조리원,2024-09-03 14:37:09,U,2024-09-05 02:40:00,,230824.58041259,316909.73781206,43,43,683.45,109.0,50.74,0.0,6.7,0.0,153.05,0.0,5.0,11.0,0.0,0.0,0.0,2.0,13.0,11.0,2.0,
777,산후조리업,01_01_04_P,3660000,PHMB120153660023042100001,2015-05-18,,1,영업/정상,13,영업중,,,,,042-546-9302,,,,대전광역시 서구 도안대로 25 (관저동),35362,예담산후조리원,2024-02-26 09:30:04,U,2024-02-28 02:40:00,,229962.071644498,311502.236688131,24,26,387.82,69.96,16.56,0.0,18.24,9.57,4.04,5.9,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
778,산후조리업,01_01_04_P,3660000,PHMB120173660023042100001,2017-07-14,,1,영업/정상,13,영업중,,,,,476-9970,,,대전광역시 서구 탄방동 673번지,"대전광역시 서구 문정로2번길 95 (탄방동, 주안빌딩)",35262,미즈여성병원부설산후조리원,2018-06-12 14:54:13,I,2018-08-31 23:59:59,,234536.198054348,315901.834098604,36,36,558.47,107.33,25.99,67.38,,,106.42,21.25,5.0,23.0,,,1.0,,10.0,9.0,1.0,
779,산후조리업,01_01_04_P,3290000,PHMB120063290024042100003,2006-12-08,,1,영업/정상,13,영업중,,,,,890-7103,,,부산광역시 부산진구 개금동 177번지 149호,"부산광역시 부산진구 가야대로 472 (개금동, 보문빌딩)",47323,아이사랑산후조리원,2024-05-01 13:08:08,U,2024-05-03 02:40:00,,384320.464806731,185580.977835139,20,20,233.8,81.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,
780,산후조리업,01_01_04_P,3290000,PHMB120143290024042100001,2014-02-11,,1,영업/정상,13,영업중,,,,,051-890-9980,,614-813,부산광역시 부산진구 개금동 204번지 6호 미래여성병원,"부산광역시 부산진구 가야대로 459 (개금동, 미래여성병원)",47268,미래여성산후조리원,2014-11-10 10:17:16,I,2018-08-31 23:59:59,,384209.576871945,185708.321755575,28,28,669.9,96.2,35.3,161.3,0.0,79.8,79.8,7.6,4.0,12.0,0.0,15.0,2.0,6.0,2.0,2.0,0.0,
781,산후조리업,01_01_04_P,5670000,PHMB120115670071042100001,2011-09-27,,1,영업/정상,13,영업중,,,,,055-541-3575,,645-807,경상남도 창원시 진해구 이동 2-2 메디컬빌딩 6층,"경상남도 창원시 진해구 진해대로776번길 27, 6층 (이동, 온메디칼빌딩)",51659,온산후조리원,2019-01-22 14:06:23,I,2021-07-02 00:23:01,,354690.136441258,185428.1485298,15,15,153.53,23.3,10.9,29.18,11.49,7.5,2.22,7.28,3.0,2.0,,1.0,,,6.0,6.0,,
782,산후조리업,01_01_04_P,5670000,PHMB120125670062042100001,2012-02-21,,1,영업/정상,13,영업중,,,,,277-2255,,,경상남도 창원시 의창구 봉곡동 38-3,"경상남도 창원시 의창구 원이대로285번길 6, 9층 (봉곡동)",51176,미즈맘산후조리원,2022-05-27 11:01:04,U,2022-05-29 02:40:00,,350270.507540681,194958.711141183,21,21,407.93,42.75,19.35,23.99,34.51,50.71,50.71,4.8,4.0,9.0,0.0,0.0,1.0,0.0,10.0,9.0,1.0,
783,산후조리업,01_01_04_P,5670000,PHMB120145670447042100001,2014-01-28,,1,영업/정상,13,영업중,,,,,055-262-9922,,,,"경상남도 창원시 성산구 중앙대로100번길 9, 5층 2호 (상남동)",51494,주식회사 리베라산후조리원,2023-06-14 16:00:22,U,2023-06-16 02:40:00,,352932.192415199,192841.446314668,23,23,467.99,42.25,15.2,73.4,7.87,7.2,32.54,15.75,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,
784,산후조리업,01_01_04_P,5670000,PHMB120205670066042100001,2020-11-24,,1,영업/정상,13,영업중,,,,,055-253-5555,,,,"경상남도 창원시 마산회원구 양덕로 144, 상현메디컬빌딩 (양덕동)",51364,위드산후조리원,2021-02-08 17:42:36,I,2021-07-02 00:23:01,,344138.688935289,193598.175971511,23,23,485.97,95.88,26.18,84.6,22.8,,131.04,21.75,3.0,8.0,,1.0,1.0,2.0,8.0,7.0,1.0,
785,산후조리업,01_01_04_P,5670000,PHMB120215670554042100001,2021-04-30,,1,영업/정상,13,영업중,,,,,055-283-3055,,,경상남도 창원시 의창구 사림동 162-4 시그니처 M,"경상남도 창원시 의창구 용동로57번길 18, 시그니처 M 301호 (사림동)",51139,한마음산후조리원,2021-04-30 15:05:29,I,2021-07-02 00:23:01,,354470.080083776,194533.926330092,18,8,23.48,53.69,14.7,26.1,23.8,,15.72,11.52,2.0,8.0,,2.0,1.0,,13.0,9.0,4.0,
786,산후조리업,01_01_04_P,5670000,PHMB120065270048042100002,2006-12-04,,1,영업/정상,13,영업중,,,,,055-286-6650~1,,,"경상남도 창원시 성산구 대방동 363번지 1호 선린빌딩, 5층","경상남도 창원시 성산구 가양로124번길 7, 선린빌딩 5층 (대방동)",51465,선린산후조리원,2024-07-01 13:09:41,U,2024-07-03 02:40:00,,355380.703476009,191276.792055608,12,12,122.76,19.79,0.0,0.0,14.72,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,
787,산후조리업,01_01_04_P,5670000,PHMB120085280165042100001,2009-09-01,,1,영업/정상,13,영업중,,,,,249-0593,,631-460,경상남도 마산시 동성동 248번지 1호 2통 1반,경상남도 창원시 마산합포구 불종거리로 19 (동성동),51729,참여성병원산후조리원,2016-01-05 09:50:10,I,2021-07-02 00:23:01,,343480.559682553,190796.068354329,13,13,261.3,,14.4,,,,25.52,16.7,3.0,5.0,,1.0,,,9.0,5.0,,
788,산후조리업,01_01_04_P,5670000,PHMB120095270048042100002,2009-04-14,,1,영업/정상,13,영업중,,2022-04-06,2022-08-31,,282-1600,,,경상남도 창원시 성산구 상남동 27-2 모란여성병원,"경상남도 창원시 성산구 마디미서로 56, 모란여성병원 8.9층 (상남동)",51503,모란산후조리원,2023-06-08 17:18:59,U,2023-06-10 02:40:00,,352950.105548838,192556.575592881,14,14,462.03,51.0,55.6,0.0,6.3,0.0,0.0,15.0,2.0,8.0,0.0,0.0,2.0,3.0,11.0,9.0,0.0,
789,산후조리업,01_01_04_P,5670000,PHMB120105270048042100001,2010-05-14,,1,영업/정상,13,영업중,,2023-06-09,2023-06-15,,055-286-3575,,,경상남도 창원시 성산구 상남동 73-3 서울메디컬센터,"경상남도 창원시 성산구 상남로 73, 서울메디컬센터 3층 (상남동)",51504,마미캠프산후조리원,2023-06-14 15:32:00,U,2023-06-16 02:40:00,,352858.419158562,192567.039930214,22,22,377.98,37.6,16.25,73.08,10.52,0.0,12.53,9.26,3.0,9.0,0.0,2.0,2.0,0.0,11.0,10.0,1.0,
790,산후조리업,01_01_04_P,3740000,PHMB120123740106042100001,2012-05-30,,1,영업/정상,13,영업중,,2022-12-11,2023-01-19,,031-206-7500,,443-810,경기도 수원시 영통구 영통2동 959번지 1호 모던타운 8층,경기도 수원시 영통구 봉영로 1605 (영통동),16703,시온산후조리원,2023-01-06 15:23:23,U,2023-01-08 02:40:00,,206445.901789232,416957.536591546,30,30,574.44,56.8,14.4,72.5,16.7,0.0,5.7,7.6,3.0,6.0,0.0,2.0,1.0,3.0,11.0,8.0,3.0,
791,산후조리업,01_01_04_P,3740000,PHMB120133740032042100001,2013-07-16,,1,영업/정상,13,영업중,,2017-06-27,2017-06-30,,236-2000,,441-886,경기도 수원시 권선구 권선동 1311번지 1호,경기도 수원시 권선구 동수원로 220 (권선동),16554,에덴메디여성병원 산후조리원,2023-07-03 14:43:09,U,2023-07-05 02:40:00,,202946.073903066,416380.474855003,16,18,269.0,36.0,18.0,47.0,9.0,2.7,8.0,9.0,4.0,8.0,1.0,6.0,2.0,0.0,8.0,6.0,2.0,
792,산후조리업,01_01_04_P,3740000,PHMB120133740106042100001,2013-01-09,,1,영업/정상,13,영업중,,2021-07-24,2021-08-31,,031-548-2020,,,경기도 수원시 영통구 원천동 96-7,"경기도 수원시 영통구 중부대로 333, 3, 4, 5층 (원천동)",16518,주식회사 연세산후조리원,2024-06-26 10:24:45,U,2024-06-28 02:40:00,,204554.433104162,419069.802112204,20,20,307.88,36.42,10.04,16.15,10.88,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,6.0,5.0,1.0,
793,산후조리업,01_01_04_P,3740000,PHMB120143740032042100001,2014-12-29,,1,영업/정상,13,영업중,,,,,,,,,경기도 수원시 권선구 서부로1596번길 10 (고색동),16625,주식회사 루시아산후조리원,2014-12-30 11:05:48,I,2020-08-05 00:23:26,,197848.377801612,416619.9512244,15,15,311.46,30.84,18.54,54.58,7.61,25.74,50.57,16.49,3.0,6.0,,3.0,2.0,,8.0,67.0,,
794,산후조리업,01_01_04_P,3740000,PHMB120153740106042100001,2015-08-11,,1,영업/정상,13,영업중,,,,,031-204-9700,,,경기도 수원시 영통구 영통동 1011번지 5호,"경기도 수원시 영통구 청명남로34번길 21, 6층 (영통동, 테라스가든)",16705,샤론산후조리원,2025-01-16 17:58:42,U,2025-01-18 02:40:00,,206736.092058135,416711.912393679,21,21,18.0,45.25,12.0,16.0,9.4,0.0,3.32,7.28,1.0,6.0,0.0,3.0,1.0,1.0,6.0,6.0,0.0,
795,산후조리업,01_01_04_P,3740000,PHMB120163740032042100001,2016-07-19,,1,영업/정상,13,영업중,,,,,031-289-3056,,,경기도 수원시 권선구 금곡동 1109번지 2호,경기도 수원시 권선구 금곡로197번길 70 (금곡동),16391,세인트마리 여성병원 산후조리원,2016-07-20 13:43:38,I,2020-08-05 00:23:26,,195844.305785948,419278.090017568,25,25,458.0,54.0,6.0,46.0,24.0,3.0,3.0,11.0,3.0,14.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,
796,산후조리업,01_01_04_P,3740000,PHMB120073740106042100001,2007-10-08,,1,영업/정상,13,영업중,,2022-05-03,2022-07-02,,031-307-1800,,443-814,경기도 수원시 영통구 영통1동 1009번지 6호,"경기도 수원시 영통구 반달로 21, 6층 (영통동, 매직플라자)",16705,오늘산후조리원,2022-12-23 17:16:56,U,2022-12-25 02:40:00,,206587.578367614,416636.096058449,25,25,412.0,49.5,19.8,33.0,13.2,19.8,6.6,8.25,2.0,4.0,0.0,1.0,0.0,0.0,8.0,6.0,0.0,
797,산후조리업,01_01_04_P,3740000,PHMB120063740031042100001,2006-12-05,,1,영업/정상,13,영업중,,,,,269-8833,,440-330,경기도 수원시 장안구 천천동 528번지 2호,경기도 수원시 장안구 만석로5번길 12-10 (천천동),16329,베스트산후조리원,2008-12-22 15:17:26,I,2020-08-05 00:23:26,,198435.084651441,421489.950355042,8,0,19.8,0.0,,,,,,,2.0,3.0,,,2.0,,8.0,4.0,,
798,산후조리업,01_01_04_P,3740000,PHMB120063740031042100002,2006-10-16,,1,영업/정상,13,영업중,,,,,248-8100,,440-848,경기도 수원시장안구 조원동 762번지 17호,경기도 수원시 장안구 경수대로 892 (조원동),,우먼플러스산후조리원,2020-12-18 17:11:54,U,2020-12-20 02:40:00,,200984.230400931,421989.543787374,21,21,21.21,2.0,15.84,,7.83,5.4,,8.99,3.0,9.0,,,1.0,,,,,
799,산후조리업,01_01_04_P,3740000,PHMB120063740106042100002,2006-11-29,,1,영업/정상,13,영업중,,2024-06-01,2024-06-20,,206-3588,,443-814,경기도 수원시 영통구 영통1동 998번지 4호,경기도 수원시 영통구 반달로7번길 16 (영통동),,산후조리원품,2024-08-07 17:45:24,U,2024-08-10 02:40:00,,206527.053165779,416748.278403711,22,22,360.0,31.0,9.0,12.0,4.0,0.0,64.0,9.0,3.0,2.0,0.0,2.0,1.0,0.0,4.0,4.0,0.0,
800,산후조리업,01_01_04_P,3740000,PHMB120063740106042100003,2006-12-08,,1,영업/정상,13,영업중,,2015-12-02,2015-12-31,,031-273-0051,,443-814,경기도 수원시 영통구 영통1동 998번지 1호,경기도 수원시 영통구 반달로7번길 40 (영통동),,(주) 미소산후조리원,2023-04-12 11:04:12,U,2023-04-15 02:40:00,,206601.388421815,416845.635479142,15,15,235.19,51.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,
801,산후조리업,01_01_04_P,3940000,PHMB120153940139042100001,2015-05-04,,1,영업/정상,13,영업중,,,,,,,410-821,경기도 고양시 일산동구 식사동 1588번지 동국타워 2층,경기도 고양시 일산동구 위시티로 18 (식사동),10324,퀸스파크산후조리원,2023-07-14 14:03:33,U,2023-07-16 02:40:00,,182952.408473266,463589.642342925,13,13,280.0,34.42,0.0,38.26,13.18,0.0,0.0,21.95,4.0,11.0,0.0,2.0,2.0,0.0,10.0,8.0,2.0,
802,산후조리업,01_01_04_P,3940000,PHMB120123940138042100002,2012-07-18,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 행신동 762-5 센트럴빌딩,"경기도 고양시 덕양구 충장로 2, 센트럴빌딩 8층 (행신동)",10526,세인트누보산후조리원,2024-02-22 15:54:56,U,2024-02-24 02:40:00,,185316.887775663,456756.475151363,18,19,353.8,33.2,7.0,43.4,0.0,7.2,16.2,12.7,4.0,4.0,0.0,2.0,1.0,1.0,10.0,8.0,2.0,
803,산후조리업,01_01_04_P,3940000,PHMB120063940139042100001,2006-12-07,,1,영업/정상,13,영업중,,,,,031-810-9877,,,"경기도 고양시 일산동구 장항동 780번지 일산복합빌딩 6,7층","경기도 고양시 일산동구 중앙로 1317, 6,7층 (장항동, 일산복합빌딩)",10401,유재산후조리원,2024-01-17 15:23:58,U,2024-01-19 02:40:00,,179633.315549362,462306.038542828,36,28,650.07,78.9,0.0,0.0,8.48,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,3.0,11.0,8.0,3.0,
804,산후조리업,01_01_04_P,3940000,PHMB120143940138042100001,2014-01-20,,1,영업/정상,13,영업중,,,,,819-1000,,,,"경기도 고양시 덕양구 화중로 72, 6층 (화정동, 케이탑리츠 화정빌딩)",10500,더플라워 산후조리원 일산점,2021-02-17 17:01:53,U,2021-02-19 02:40:00,,185018.102829856,459044.338049136,21,21,518.48,52.15,,20.81,15.68,,3.6,22.09,3.0,6.0,,2.0,2.0,,10.0,6.0,4.0,
805,산후조리업,01_01_04_P,3940000,PHMB120143940139042100001,2014-07-10,,1,영업/정상,13,영업중,,,,,031-901-4000,,,,경기도 고양시 일산동구 중앙로 1071 (백석동),410-817,그레이스산후조리원,2023-07-14 14:01:58,U,2023-07-16 02:40:00,,,,23,23,401.94,59.79,53.96,24.08,0.0,9.02,88.8,46.59,5.0,20.0,0.0,0.0,2.0,1.0,12.0,9.0,3.0,
806,산후조리업,01_01_04_P,3940000,PHMB120073940139042100002,2007-03-06,,1,영업/정상,13,영업중,,,,,031-908-6020,,,경기도 고양시 일산동구 백석동 1294번지 1호,"경기도 고양시 일산동구 중앙로 1072, 301,302호 (백석동)",10447,킹덤 산후조리원,2023-07-14 14:01:25,U,2023-07-16 02:40:00,,181037.389729529,460324.601611181,13,16,276.96,33.16,43.36,47.4,14.85,58.9,45.6,21.6,3.0,7.0,0.0,2.0,1.0,1.0,12.0,10.0,2.0,
